Rank	Port	Volume 2015	Volume 2014	Volume 2013	Volume 2012	Volume 2011
366861	city_name_184821, country_name_15858	29.58	9.77	25.73	18.24	35.14
197319	city_name_191948, country_name_15384	11.77	14.94	25.41	28.85	32.07
328209	city_name_100296, country_name_12345	1.4	29.47	29.07	3.41	2.57
414593	city_name_191368, country_name_17624	25.5	29.96	11.25	10.68	31.41
365317	city_name_116550, country_name_14868	15.1	30.82	31.94	27.39	31.23
423779	city_name_152795, country_name_17165	26.84	5.06	32.2	26.75	31.34
101405	city_name_184809, country_name_19172	1.29	9.75	23.81	21.26	10.16
430176	city_name_166747, country_name_17454	17.38	14.18	12.37	12.18	27.32
209655	city_name_172250, country_name_10348	2.59	32.0	7.59	5.38	28.39
356612	city_name_103260, country_name_15057	12.27	9.06	15.95	2.7	22.87
315123	city_name_180639, country_name_12607	23.45	6.59	19.95	12.86	20.06
286365	city_name_170922, country_name_19701	10.56	15.37	4.76	31.85	13.46
316367	city_name_165717, country_name_17567	15.08	8.49	22.3	1.73	12.75
417132	city_name_146077, country_name_17722	6.77	15.85	28.27	31.19	30.69
307196	city_name_138980, country_name_18849	11.58	4.38	18.64	35.15	3.73
110812	city_name_144807, country_name_16107	14.5	11.78	13.01	6.42	3.44
255946	city_name_198457, country_name_18848	2.86	33.67	6.86	16.31	13.66
90287	city_name_129637, country_name_18976	5.52	5.53	21.28	31.57	22.2
70008	city_name_172509, country_name_12308	7.49	26.03	26.34	9.8	16.67
337803	city_name_156690, country_name_18990	24.69	22.11	16.09	20.84	22.54
156393	city_name_156167, country_name_19508	26.17	10.99	26.05	33.62	23.45
497502	city_name_133192, country_name_13711	25.79	24.42	28.36	17.21	2.01
109228	city_name_162013, country_name_12079	21.71	25.86	18.73	21.55	27.45
482404	city_name_193505, country_name_12971	10.41	19.9	29.58	30.15	17.5
263178	city_name_109962, country_name_14165	3.53	20.15	11.05	31.56	16.06
97242	city_name_169126, country_name_12251	13.47	6.34	28.61	6.71	7.26
9368	city_name_193373, country_name_15788	26.04	30.75	15.54	32.34	19.89
481001	city_name_133227, country_name_13611	6.21	13.45	5.15	13.36	10.31
405630	city_name_116624, country_name_17816	28.21	31.08	8.29	24.97	12.18
425088	city_name_157870, country_name_11783	19.06	2.59	33.07	30.12	20.19
127839	city_name_127847, country_name_10065	9.26	6.57	28.92	2.93	34.24
166185	city_name_160083, country_name_18615	5.69	31.67	26.12	12.21	22.84
191819	city_name_158925, country_name_18974	30.71	19.71	29.73	30.24	18.61
470791	city_name_159653, country_name_15748	4.69	16.66	21.29	6.58	20.4
151678	city_name_164310, country_name_16177	34.25	24.26	3.17	5.07	12.5
389930	city_name_152384, country_name_16320	22.89	1.22	33.51	21.45	11.85
426373	city_name_151522, country_name_16696	30.29	10.99	35.96	26.99	5.05
39332	city_name_169638, country_name_13255	11.36	19.14	14.06	30.27	4.05
452117	city_name_137046, country_name_11623	11.42	10.37	15.12	8.22	33.61
31778	city_name_184099, country_name_13816	8.57	23.59	12.64	25.63	1.65
193971	city_name_131408, country_name_15722	9.36	6.86	16.98	28.31	25.02
133998	city_name_149479, country_name_18290	22.4	35.51	1.43	5.68	23.8
211147	city_name_118854, country_name_12446	11.99	25.17	6.97	26.56	22.59
132225	city_name_132731, country_name_17459	9.75	26.52	31.74	27.31	5.52
28477	city_name_177808, country_name_16645	35.07	16.38	4.36	11.75	25.82
102265	city_name_196221, country_name_11116	10.06	10.9	26.03	10.42	12.08
468101	city_name_164385, country_name_14780	4.42	9.79	18.44	16.4	16.39
409843	city_name_133827, country_name_12277	13.59	15.86	1.9	25.82	30.09
308692	city_name_150118, country_name_10197	7.75	27.78	28.38	4.87	18.34
42503	city_name_123691, country_name_14043	26.33	3.67	16.8	22.52	10.16
374188	city_name_198697, country_name_11227	7.08	19.72	9.17	1.42	2.87
461617	city_name_181325, country_name_10752	4.03	14.71	15.05	33.95	6.39
277552	city_name_146939, country_name_11723	26.84	26.57	2.01	13.32	29.49
144914	city_name_196275, country_name_16211	29.46	12.76	12.63	3.88	17.96
313653	city_name_119752, country_name_19416	19.24	15.14	27.71	33.1	9.8
73348	city_name_166318, country_name_11000	5.0	28.66	4.19	27.35	17.93
47014	city_name_165380, country_name_10916	14.27	25.15	2.76	6.34	33.73
214941	city_name_108430, country_name_17737	25.14	13.33	34.15	18.19	8.37
313435	city_name_198383, country_name_18720	32.13	24.97	19.94	24.39	21.53
289095	city_name_109408, country_name_18973	29.25	25.74	28.75	34.61	18.12
267127	city_name_178471, country_name_11757	2.07	19.99	23.34	7.57	14.34
389118	city_name_195004, country_name_11739	33.63	18.9	33.07	4.94	13.96
33846	city_name_130641, country_name_10997	8.11	13.74	12.62	26.85	29.48
320475	city_name_131164, country_name_15651	7.27	34.02	24.31	34.59	35.72
26608	city_name_193617, country_name_19600	11.76	25.44	6.58	24.85	5.82
3588	city_name_119330, country_name_16194	11.76	4.74	12.79	30.81	21.01
389517	city_name_188251, country_name_19344	22.02	33.31	4.57	21.37	10.5
491644	city_name_180072, country_name_18578	27.66	34.61	31.94	26.07	15.31
128957	city_name_170206, country_name_12221	17.93	14.56	30.08	19.52	27.18
63590	city_name_178221, country_name_10575	6.58	23.44	16.71	7.23	17.95
198210	city_name_194619, country_name_16799	25.34	23.71	17.42	34.11	28.61
66621	city_name_112586, country_name_15620	8.34	9.09	15.87	20.68	19.94
277850	city_name_193640, country_name_19620	17.78	22.02	12.84	16.8	23.79
338986	city_name_187451, country_name_13337	5.22	30.35	2.53	33.0	7.16
320557	city_name_131353, country_name_16225	23.58	4.23	24.57	23.5	35.21
105597	city_name_193761, country_name_13480	11.04	21.63	10.88	16.58	1.06
192958	city_name_129193, country_name_11678	22.72	16.01	25.05	24.58	26.07
385679	city_name_134984, country_name_15842	14.95	22.41	26.82	3.47	13.07
74303	city_name_198892, country_name_13422	34.6	31.35	21.27	26.25	34.41
469802	city_name_159432, country_name_12899	5.17	8.7	32.97	31.19	26.42
240934	city_name_135331, country_name_12923	30.52	17.62	28.2	24.65	29.02
341175	city_name_109189, country_name_10118	26.34	9.13	1.22	33.01	33.15
74765	city_name_168828, country_name_18551	2.74	20.9	4.7	14.13	9.83
436352	city_name_161672, country_name_11582	14.88	32.92	7.31	7.88	15.71
340586	city_name_155298, country_name_12327	12.96	33.68	25.91	21.68	15.93
309460	city_name_165158, country_name_14279	23.01	12.22	33.27	25.61	8.55
367927	city_name_188836, country_name_10973	21.55	2.41	34.19	21.85	11.8
278612	city_name_174661, country_name_16646	2.18	20.97	26.35	34.95	22.46
419083	city_name_138856, country_name_11158	7.45	14.89	28.41	22.95	31.17
448705	city_name_194343, country_name_17665	16.57	19.31	11.94	1.41	29.08
376528	city_name_130431, country_name_13233	12.9	32.02	9.84	8.91	5.34
449010	city_name_136177, country_name_11463	10.7	11.02	18.02	17.01	30.74
149675	city_name_130979, country_name_16656	14.48	26.76	3.74	17.71	10.42
377858	city_name_125581, country_name_17847	29.87	7.14	31.83	2.97	8.01
187969	city_name_190251, country_name_19037	33.55	1.79	11.19	15.92	29.4
433588	city_name_163753, country_name_14359	10.72	5.67	1.32	11.43	5.89
132426	city_name_129511, country_name_12329	31.33	25.49	12.64	23.77	29.63
329068	city_name_160218, country_name_12748	29.44	3.71	16.85	5.91	9.29
278705	city_name_147766, country_name_17563	8.16	20.61	17.74	9.07	9.64
361952	city_name_167420, country_name_19242	16.4	2.95	32.46	28.78	24.95
67440	city_name_106687, country_name_11758	6.15	9.2	23.92	10.98	7.48
364192	city_name_184842, country_name_15719	13.92	20.49	32.31	9.45	2.98
195922	city_name_164951, country_name_15330	17.94	35.57	22.87	34.89	16.05
164509	city_name_111772, country_name_15474	26.39	25.36	9.15	15.21	27.56
55	city_name_171813, country_name_15364	6.75	7.88	35.12	25.43	22.74
3733	city_name_110270, country_name_12958	28.76	23.26	11.97	20.1	28.61
439836	city_name_127761, country_name_13515	33.51	8.94	20.05	9.81	6.54
212781	city_name_136166, country_name_18739	13.23	5.94	33.64	26.93	14.51
54927	city_name_140553, country_name_14705	29.22	12.37	18.17	34.51	35.46
20719	city_name_163544, country_name_18700	8.19	35.63	5.1	3.79	9.75
188121	city_name_188410, country_name_16001	17.27	19.39	28.72	23.36	1.21
126519	city_name_148617, country_name_13814	5.37	13.67	4.8	8.72	27.84
488168	city_name_197135, country_name_15833	3.77	20.44	29.69	8.92	27.79
413066	city_name_176992, country_name_17769	15.88	32.14	22.19	21.12	33.6
146798	city_name_100733, country_name_13295	10.6	24.9	7.23	5.09	35.07
437006	city_name_178883, country_name_14167	13.79	27.47	10.36	3.29	2.75
481834	city_name_148207, country_name_13765	28.1	35.97	27.55	13.99	28.42
473415	city_name_131022, country_name_17431	14.76	17.24	4.46	9.18	19.0
131427	city_name_172603, country_name_15659	5.54	8.47	26.52	12.21	25.91
359604	city_name_110976, country_name_17148	30.18	28.77	3.97	18.35	9.01
49839	city_name_176044, country_name_14495	19.19	8.06	14.85	25.45	16.83
5263	city_name_108639, country_name_16660	19.41	8.47	28.27	27.53	25.28
234495	city_name_109682, country_name_15436	1.32	28.25	21.32	2.8	11.54
428921	city_name_159280, country_name_13553	17.33	10.79	8.8	13.91	33.41
44339	city_name_164804, country_name_18524	13.62	12.23	12.58	20.41	31.18
443405	city_name_163767, country_name_16235	34.07	25.67	6.7	6.13	6.34
87609	city_name_155492, country_name_12048	31.35	5.7	22.48	15.75	24.82
299158	city_name_182307, country_name_16685	19.57	17.46	28.23	11.61	1.5
459318	city_name_101854, country_name_11880	22.67	12.98	30.9	17.46	35.62
78323	city_name_129355, country_name_18890	2.96	16.18	29.57	22.25	12.45
87979	city_name_104101, country_name_10260	21.16	14.01	5.77	28.88	11.68
141442	city_name_194635, country_name_12757	8.26	21.9	27.59	20.4	20.29
262222	city_name_197198, country_name_18746	27.27	25.77	1.13	5.42	6.21
466988	city_name_184350, country_name_13700	1.42	26.02	2.08	20.15	23.23
418543	city_name_189128, country_name_12684	26.18	28.05	7.03	19.09	10.2
23159	city_name_170271, country_name_17872	8.51	15.36	7.31	5.45	10.67
230841	city_name_183678, country_name_15141	29.61	9.0	17.36	27.69	29.35
477552	city_name_187440, country_name_14520	19.34	24.92	14.94	7.07	10.37
31169	city_name_175759, country_name_18023	31.19	4.27	10.03	8.44	27.4
342005	city_name_100396, country_name_11229	1.67	16.95	7.16	12.95	12.7
373971	city_name_152563, country_name_19565	5.6	31.36	11.06	25.96	20.81
159476	city_name_172647, country_name_16856	13.86	6.15	7.62	35.78	20.44
200245	city_name_146715, country_name_17788	10.91	17.4	8.13	24.7	3.17
464932	city_name_164750, country_name_18982	4.72	16.09	20.47	9.17	23.9
440800	city_name_170229, country_name_16960	29.94	19.92	28.64	30.59	23.99
467166	city_name_149145, country_name_12315	15.85	10.39	29.76	28.88	22.2
213391	city_name_151498, country_name_10837	23.93	34.62	33.78	25.78	29.84
339526	city_name_145111, country_name_10406	21.79	24.4	18.3	5.11	1.59
337036	city_name_112057, country_name_16227	15.05	28.25	4.48	26.99	30.83
146361	city_name_117520, country_name_12841	35.1	3.04	31.06	26.31	4.84
29669	city_name_105376, country_name_12455	1.28	5.9	29.15	4.38	32.23
211685	city_name_194942, country_name_18913	14.08	34.22	30.09	21.8	25.74
393764	city_name_140931, country_name_18277	13.86	22.52	4.83	10.47	9.86
454622	city_name_127951, country_name_14150	31.98	9.19	9.44	28.04	14.17
359180	city_name_162324, country_name_10257	5.17	4.82	4.27	2.67	28.24
93124	city_name_116778, country_name_19584	28.63	10.42	31.41	6.11	25.87
47934	city_name_193742, country_name_17112	5.81	32.27	29.85	29.63	35.7
374118	city_name_123228, country_name_13803	13.12	16.54	20.5	1.07	28.5
415221	city_name_113349, country_name_12920	35.82	31.24	25.42	16.14	15.77
299237	city_name_153476, country_name_10916	29.57	15.93	27.96	27.41	17.21
152019	city_name_189191, country_name_18763	34.49	4.69	19.41	3.09	4.59
213450	city_name_136677, country_name_18693	2.61	29.24	25.23	33.48	3.13
21721	city_name_153418, country_name_16115	2.47	35.07	7.86	29.95	30.74
246545	city_name_188736, country_name_14115	10.49	13.34	13.14	14.99	7.87
85163	city_name_165327, country_name_16247	15.8	35.71	17.48	35.55	28.17
213070	city_name_175213, country_name_17756	20.12	10.53	3.99	18.22	6.25
118646	city_name_198795, country_name_18031	16.94	13.9	29.12	32.0	18.51
465434	city_name_131104, country_name_15837	6.86	7.87	9.18	17.94	16.62
306634	city_name_162505, country_name_10296	11.12	16.72	20.48	20.96	16.12
218154	city_name_125221, country_name_18474	4.2	15.07	29.74	3.07	29.27
364128	city_name_135439, country_name_11717	7.68	10.9	8.18	11.49	35.63
75705	city_name_136518, country_name_10882	34.52	32.91	2.37	25.88	15.27
137489	city_name_151482, country_name_11801	19.44	29.11	26.33	19.79	8.46
202877	city_name_165956, country_name_19275	1.32	1.21	14.22	2.71	4.38
297902	city_name_137437, country_name_12436	4.34	9.62	28.89	8.07	5.22
60250	city_name_186748, country_name_13377	31.25	23.56	4.46	15.03	27.11
332290	city_name_142236, country_name_12139	25.66	2.16	16.42	25.9	33.07
85553	city_name_136719, country_name_15826	1.93	29.46	33.62	26.14	22.43
233460	city_name_102926, country_name_16105	10.74	31.44	19.32	28.77	31.72
35201	city_name_126245, country_name_17533	27.83	13.96	14.59	20.92	14.97
135507	city_name_139871, country_name_15618	26.18	27.72	17.67	16.42	34.89
139807	city_name_105002, country_name_14764	11.64	19.32	21.26	29.53	25.33
402996	city_name_155628, country_name_16542	7.13	11.11	2.39	35.0	14.23
476039	city_name_134927, country_name_13723	6.8	7.99	15.87	27.33	19.18
219185	city_name_101089, country_name_12107	11.86	19.65	7.98	35.78	4.66
314163	city_name_137692, country_name_16337	23.4	3.42	26.92	20.58	6.28
60300	city_name_154641, country_name_11039	11.04	7.6	24.28	5.13	21.96
474908	city_name_186671, country_name_10183	30.1	2.95	4.64	7.08	27.31
31735	city_name_190436, country_name_18073	11.3	23.27	27.16	10.74	30.79
116536	city_name_143732, country_name_10224	10.79	22.43	12.15	11.09	9.63
89562	city_name_171082, country_name_10714	29.96	20.32	29.03	22.67	14.19
124335	city_name_140031, country_name_14277	26.04	21.23	11.87	14.1	34.95
15180	city_name_129169, country_name_10737	31.35	28.96	7.19	21.62	26.03
399670	city_name_175735, country_name_15146	8.45	11.33	24.84	6.63	19.38
153865	city_name_195093, country_name_12110	27.77	6.71	5.89	30.12	19.9
211000	city_name_193102, country_name_17250	31.25	28.64	14.4	28.06	7.5
140942	city_name_123674, country_name_13751	32.06	26.67	24.41	29.6	27.07
411193	city_name_116574, country_name_15532	20.25	33.85	31.23	35.38	7.97
22357	city_name_100242, country_name_10909	35.3	9.5	20.45	5.51	9.61
412124	city_name_105823, country_name_10193	23.28	6.73	26.94	12.82	35.67
188136	city_name_120161, country_name_16375	10.08	15.42	18.98	28.78	18.54
263876	city_name_117168, country_name_19385	10.17	24.51	24.45	28.39	25.66
292331	city_name_181302, country_name_13800	12.49	13.97	27.03	10.74	33.78
149194	city_name_123685, country_name_13475	3.66	34.02	18.75	17.87	31.71
324221	city_name_110862, country_name_16086	14.37	3.14	35.6	32.71	23.65
254667	city_name_110726, country_name_10690	25.05	35.08	13.25	35.07	30.41
425520	city_name_128549, country_name_19958	9.2	16.78	20.91	25.82	28.74
447329	city_name_197237, country_name_17362	9.23	31.31	31.64	4.1	6.74
436559	city_name_147595, country_name_19571	27.01	27.06	4.69	29.92	31.88
139730	city_name_140895, country_name_12125	21.3	17.96	11.23	28.6	27.69
313300	city_name_184752, country_name_10297	15.24	10.29	34.55	4.89	13.43
282779	city_name_151407, country_name_15137	33.59	11.05	4.04	4.54	21.15
168986	city_name_135842, country_name_15777	25.54	22.11	21.26	11.45	26.53
401005	city_name_115551, country_name_19578	6.89	35.78	6.65	21.29	32.73
250794	city_name_178355, country_name_12774	28.35	29.81	30.1	16.17	31.67
118177	city_name_151225, country_name_12533	4.71	24.0	3.69	30.9	21.3
45398	city_name_157824, country_name_11287	21.43	33.16	15.7	22.96	2.92
187546	city_name_157960, country_name_18849	27.55	11.97	15.76	2.25	31.77
72832	city_name_129049, country_name_17787	22.31	9.56	20.25	11.71	30.49
174825	city_name_109344, country_name_15697	24.8	27.72	25.16	1.93	2.07
